a52dec 0.8.0-2
aalib 1.4rc5-18
abseil-cpp 20240722.0-1
accent-color-change r138.4f8caaf-2
accountsservice 23.13.9-2
acl 2.3.2-1
acpi 1.7-4
acpid 2.0.34-2
addwater 1.2.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adw-gtk-theme 5.6-1
adwaita-cursors 47.0-1
adwaita-icon-theme 47.0-1
adwaita-icon-theme-legacy 46.2-3
ags-hyprpanel-git r505.88609f7-1
alsa-card-profiles 1:1.2.7-1
alsa-firmware 1.2.4-4
alsa-lib 1.2.13-1
alsa-oss 1.1.8-6
alsa-plugins 1:1.2.12-4
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.13-2
alsa-utils 1.2.13-2
amd-ucode 20241210.b00a7f7e-1
aom 3.11.0-1
apache 2.4.62-1
apparmor 4.0.3-1
appmenu-glib-translator-git 24.05.r6.g218bb4a-1
appstream 1.0.4-1
apr 1.7.5-3
apr-util 1.6.3-2
aquamarine 0.5.0-1
archlinux-appstream-data 20240914-1
archlinux-keyring 20241203-1
argon2 20190702-6
aribb24 1.0.3-4
ark 24.08.3-1
at-spi2-core 2.54.0-2
atkmm 2.28.4-1
attica 6.8.0-1
attr 2.5.2-1
audit 4.0.2-2
avahi 1:0.8+r194+g3f79789-2
ayatana-ido 0.10.4-1
aylurs-gtk-shell-git 2.2.1.r6.g7eb6555-1
b43-fwcutter 019-5
baloo 6.8.0-1
baloo-widgets 24.08.3-1
baobab 47.0-1
base 3-3
bash 5.2.037-1
bc 1.07.1-5
bibata-cursor-theme 2.0.7-1
binutils 2.43+r4+g7999dae6961-1
blueman 2.4.3-1
blueprint-compiler 0.14.0-2
bluez 5.79-1
bluez-libs 5.79-1
bluez-utils 5.79-1
bolt 0.9.8-1
botan2 2.19.5-1
brave-browser 1.74.48-1
breeze-icons 6.8.0-1
brightnessctl 0.5.1-3
brotli 1.1.0-2
btop 1.4.0-4
btrfs-progs 6.12-1
btrfsmaintenance 1:0.5.2-1
bubblewrap 0.11.0-1
bzip2 1.0.8-6
c-ares 1.34.3-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.107-1
ca-certificates-utils 20240618-1
cabextract 1.11-2
cairo 1.18.2-2
cairomm 1.14.5-1
cairomm-1.16 1.18.0-1
cantarell-fonts 1:0.303.1-2
capstone 5.0.3-1
cava 0.10.3-2
cdparanoia 10.2-9
cdrtools 3.02a09-6
chromaprint 1.5.1-9
cifs-utils 7.1-1
cinnamon-desktop 6.4.1-1
cjs 6.4.0-1
ckbcomp 1.227-1
clang 18.1.8-4
cliphist 1:0.6.1-1
clutter 1.26.4-3
clutter-gst 3.0.27-5
clutter-gtk 1.8.4-4
cmake 3.31.2-1
cogl 1.22.8-3
collision 3.9.0-2
colord 1.4.7-2
colord-gtk-common 0.3.1-1
colord-gtk4 0.3.1-1
colord-sane 1.4.7-2
compiler-rt 18.1.8-1
composefs 1.0.4-1
confuse 3.3-4
convertlit 1.8-12
coreutils 9.5-2
cppdap 1.58.0-2
cpupower 6.12-1
cracklib 2.10.2-1
cronie 1.7.2-1
cryptsetup 2.7.5-1
cups 2:2.4.11-1
cups-filters 2.0.1-1
cups-pdf 3.0.1-8
cups-pk-helper 0.2.7-2
curl 8.11.1-2
dart-sass 1.82.0-1
dav1d 1.5.0-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-glib 0.112-4
dbus-units 36-4
dconf 0.40.0-3
default-cursors 3-1
deja-dup 47.0-1
desktop-file-utils 0.28-1
device-mapper 2.03.29-1
diffutils 3.10-1
ding-libs 0.6.2-2
djvulibre 3.5.28-6
dkms 3.1.3-1
dmidecode 3.6-1
dmraid 1.0.0.rc16.3-15
dnsmasq 2.90-1
dolphin 24.08.3-1
dosfstools 4.2-5
dotnet-host 8.0.10.sdk110-1
dotnet-runtime 8.0.10.sdk110-1
dotnet-sdk 8.0.10.sdk110-1
dotnet-targeting-pack 8.0.10.sdk110-1
double-conversion 3.3.0-2
dtc 1.7.2-1
duktape 2.7.0-7
dunst 1.12.0-1
duplicity 3.0.3-1
dynamic-wallpaper 0.1.0-3
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
ecryptfs-utils 111-9
editorconfig-core-c 0.12.9-1
edk2-ovmf 202411-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.16-1
eglexternalplatform 1.2-2
electron32 32.2.7-1
enchant 2.8.2-1
endeavour 43.0-3
evince 46.3.1-2
evolution-data-server 3.54.2-1
exempi 2.6.5-1
exfatprogs 1.2.6-1
exiv2 0.28.3-1
expat 2.6.4-1
eza 0.20.12-1
f2fs-tools 1.16.0-3
faac 1.30-5
faad2 2.11.1-1
fakeroot 1.36-1
fastfetch 2.31.0-1
ffmpeg 2:7.1-3
ffmpeg-audio-thumbnailer 1.2.0-1
ffmpeg4.4 4.4.5-1
ffmpegthumbnailer 2.2.3-3
ffmpegthumbs 24.08.3-2
fftw 3.3.10-7
file 5.46-2
file-roller 44.4-1
filelight 24.08.3-1
filesystem 2024.11.25-2
findutils 4.10.0-2
firefox 134.0-1
fish 3.7.1-2
flac 1.4.3-2
flashrom 1.5.0-1
flatpak 1:1.15.12-1
fluidsynth 2.4.1-1
fmt 11.0.2-1
folks 0.15.9-1
fontconfig 2:2.15.0-2
foomatic-db 3:20240209-1
foomatic-db-engine 5:20200131-1
foomatic-db-gutenprint-ppds 5.3.4-3
foomatic-db-nonfree 3:20240209-1
foomatic-db-nonfree-ppds 3:20240209-1
foomatic-db-ppds 3:20240209-1
fprintd 1.94.4-1
fragments 3.0.1-2
freeglut 3.6.0-1
freerdp 2:3.9.0-4
freetype2 2.13.3-1
fribidi 1.0.16-1
fuse-common 3.16.2-1
fuse2 2.9.9-5
fuse3 3.16.2-1
fwupd 2.0.3-1
fwupd-efi 1.7-1
fzf 0.56.3-1
gawk 5.3.1-1
gc 8.2.8-2
gcc 14.2.1+r134+gab884fffe3fc-1
gcc-libs 14.2.1+r134+gab884fffe3fc-1
gcr 3.41.2-2
gcr-4 4.3.0-1
gd 2.3.3-8
gdbm 1.24-1
gdk-pixbuf2 2.42.12-2
gdm 47.0-2
gdm-settings 5.0-3
geoclue 2.7.2-1
geocode-glib-2 3.26.4-4
geocode-glib-common 3.26.4-4
gettext 0.22.5-2
ghostscript 10.04.0-1
giflib 5.2.2-1
girara 0.4.4-1
git 2.47.1-1
github-cli 2.63.2-1
gjs 2:1.82.1-1
glib-networking 1:2.80.0-3
glib2 2.82.4-0
glib2-devel 2.82.4-0
glibc 2.40+r16+gaa533d58ff-2
glibc-locales 2.40+r16+gaa533d58ff-2
glibmm 2.66.7-1
glibmm-2.68 2.82.0-1
glslang 15.0.0-2
glu 9.0.3-2
glycin 1.1.2-1
gmp 6.3.0-2
gnome-autoar 0.4.5-1
gnome-backgrounds 47.0-1
gnome-bluetooth-3.0 47.1-1
gnome-boxes 47.0-1
gnome-browser-connector 42.1-6
gnome-calculator 47.0-1
gnome-calendar 47.0-1
gnome-characters 47.0-1
gnome-chess 47.0-1
gnome-clocks 47.0-1
gnome-color-manager 3.36.0+r62+g82000f1d-1
gnome-connections 47.0-1
gnome-contacts 47.0-2
gnome-control-center 47.2-1
gnome-desktop 1:44.1-1
gnome-desktop-4 1:44.1-1
gnome-desktop-common 1:44.1-1
gnome-disk-utility 46.1-1
gnome-firmware 47.0-1
gnome-font-viewer 47.0-1
gnome-keybindings 47.2-1
gnome-keyring 1:46.2-1
gnome-layout-switcher 0.8.39-1
gnome-logs 45.0-1
gnome-maps 47.2-1
gnome-menus 3.36.0-3
gnome-mines 40.1-2
gnome-online-accounts 3.52.2-1
gnome-remote-desktop 47.2-1
gnome-session 47.0.1-1
gnome-settings-daemon 47.2-1
gnome-shell 1:47.2-1
gnome-shell-extension-appindicator 1:59-1
gnome-shell-extension-arc-menu 63-1
gnome-shell-extension-dash-to-dock 99-1
gnome-shell-extension-dash-to-panel 65-1
gnome-shell-extension-forge 84-1
gnome-shell-extension-gnome-ui-tune 1.10.0-1
gnome-shell-extension-gsconnect 58-1
gnome-shell-extension-gtk4-desktop-icons-ng 1:90-1
gnome-shell-extension-legacy-theme-auto-switcher r23.dbffe84-1
gnome-shell-extension-space-bar 32-1
gnome-shell-extension-x11gestures 24-1
gnome-shell-extensions 47.2-1
gnome-system-monitor 47.0-3
gnome-terminal 3.54.2-1
gnome-text-editor 47.2-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gnome-tour 47.0-1
gnome-tweaks 46.1-1
gnome-user-docs 47.2-1
gnome-user-share 47.2-1
gnome-weather 47.0-1
gnuchess 6.2.9-3
gnupg 2.4.7-1
gnutls 3.8.8-1
go 2:1.23.4-1
gobject-introspection 1.82.0-1
gobject-introspection-runtime 1.82.0-1
gom 0.5.3-1
google-chrome 132.0.6834.83-1
gperftools 2.16-1
gpgme 1.24.1-1
gpm 1.20.7.r38.ge82d1a6-6
granite 1:6.2.0-1
graphene 1.10.8-2
graphite 1:1.3.14-4
grep 3.11-1
grilo 0.3.16-1
grilo-plugins 1:0.3.16-1
grim 1.4.1-2
grimblast-git r112.d7c5514-1
groff 1.23.0-7
grub 2:2.12-3
grub-btrfs 4.13-2
grub-theme-manjaro 20.2-16
gsettings-desktop-schemas 47.1-2
gsettings-system-schemas 47.1-2
gsfonts 20200910-4
gsm 1.0.22-2
gsound 1.0.3-3
gspell 1.14.0-1
gssdp 1.6.3-2
gssproxy 0.9.2-1
gst-devtools-libs 1.24.10-1
gst-editing-services 1.24.10-1
gst-libav 1.24.10-1
gst-plugin-gtk 1.24.10-1
gst-plugin-gtk4 0.13.2-1
gst-plugin-pipewire 1:1.2.7-1
gst-plugins-bad 1.24.10-1
gst-plugins-bad-libs 1.24.10-1
gst-plugins-base 1.24.10-1
gst-plugins-base-libs 1.24.10-1
gst-plugins-good 1.24.10-1
gst-plugins-ugly 1.24.10-1
gst-python 1.24.10-1
gstreamer 1.24.10-1
gtest 1.15.2-1
gthumb 3.12.6-4
gtk-layer-shell 0.9.0-1
gtk-update-icon-cache 1:4.16.7-1
gtk-vnc 1.3.1-2
gtk3 1:3.24.43-4
gtk4 1:4.16.7-1
